Date,Amount,Paid_From_Account,Payment_Method,Description,Work_Type,Notes
2026-06-29,120.00,Business checking,Transfer,403 Jackie deck rebuild — owner half day (band frame),Field half day,JRC-403 day 1 band frame installed and staked. Owner half day.
2026-06-30,240.00,Business checking,Transfer,403 Jackie deck rebuild — owner full day (deck finish),Field full day,JRC-403 day 2 deck finish complete.
2026-07-01,170.00,Business checking,Transfer,403 Jackie — business day while Wayne staining,Business day while Wayne on site staining,JRC-403 Wayne staining day. Standard $170 business day.
2026-07-03,170.00,Business checking,Transfer,Owner draw — Friday non-working business day (no field work),Non-working business day,Paid via $340 Truist batch transfer 2026-07-04 (with Saturday draw). Bank screenshots on file.
2026-07-04,170.00,Business checking,Transfer,Owner draw — Saturday business day (office/admin),Business office full day,Paid via $340 Truist batch transfer 2026-07-04. Truist memo batches Fri+Sat; books: Fri non-working / Sat business day. Bank screenshots on file.
